2022-02-26/15:47:55		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:55		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:55		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:56		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:56		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:56		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:56		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:56		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:56		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:57		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:57		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:57		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:57		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:57		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:57		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:57		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:57		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:57		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:57		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:57		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:58		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:58		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:58		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:58		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:58		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:58		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:58		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:58		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:58		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:58		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:59		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:59		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:59		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:59		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:59		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:59		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:47:59		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:00		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:00		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:00		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:00		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:00		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:00		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:00		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:01		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:01		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:01		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:01		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:01		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:01		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:01		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:01		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:02		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:02		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:02		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:02		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:02		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:02		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:02		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:03		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:03		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:03		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:03		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:03		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:03		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:03		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:03		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:03		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:04		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:04		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-26/15:48:04		 wafer_16012020_051629.csv: File loaded successfully!!
